,,question,content,category
13,13,как оформить моей сотруднице декретный отпуск?,"Обратитесь к HRBP для создания заявки ""Администрирование БиР""",БиР
14,14,"сотрудница уходит в декрет, как мне провести ей декретный отпуск","Обратитесь к HRBP для создания заявки ""Администрирование БиР""",БиР
15,15,Как оформить пособие по рождению ребенка?,"Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
16,16,"Родила ребенка, как оформить пособие?","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
17,17,хочу оформить единовременную выплату,"Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР
18,18,Какие документы нужно подать на отпуск по уходу за ребенком?,"Сотруднику необходимо перейти по ссылке в Базу знаний Личного кабинета https://company-x5.ru/cms/1091, открыть инструкцию по процессу 1091 - Администрирование отпуска по уходу за ребенком.",БиР
19,19,Какие документы нужно предоставить для оформления пособия по беременности и родам,"Сотруднику следует написать заявление о предоставлении отпуска по беременности и родам и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",БиР
20,20,Когда будет произведена выплата пособия по рождению ребенка?,Выплата единовременного пособия при рождении производится в течение 10 рабочих дней. С дополнительными вопросами сотрудник может обратиться в СФР по номеру 8 (800) 100-00-01,БиР
21,21,Сроки выплаты единовременного пособия при рождении ребенка,Выплата единовременного пособия при рождении производится в течение 10 рабочих дней. С дополнительными вопросами сотрудник может обратиться в СФР по номеру 8 (800) 100-00-01,БиР
22,22,"Когда отпуск по БИР закончился, нужно ли писать заявление?","Если сотрудник хочет уйти в отпуск по уходу за ребенком, ему следует написать заявление о предоставлении отпуска по уходу за ребенком и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",БиР
23,23,Могу ли я получить пособие по беременности и родам по каждому месту работы,"Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
24,24,Возможно ли получить пособие по беременности и родам по каждому месту работы?,"Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
25,25,могу я получать пособие сразу в нескольких организациях?,"Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
26,26,Можно ли получать пособие по рождению ребенка сразу в нескольких организациях?,"Если Вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. При расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",БиР
27,27,Могу я продолжить работать в отпуске по уходу за ребенком с сохранением пособия?,Сотрудник может досрочно выйти из отпуска по уходу за ребенком с сохранением пособия,БиР
28,28,Могу я продолжить работать в период больничного по беременности и родам и получать пособие,"Вы можете продолжить работу во время больничного по беременности и родам, при этом Вам будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
29,29,"Можно ли изменить период больничного по беременности и родам, если в ЭЛН указаны другие периоды","Вы можете продолжить работу во время больничного по беременности и родам, при этом Вам будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
30,30,Могут ли оба родителя получить единовременное пособие при рождении ребенка,"Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
31,31,Можем ли мы с мужем одновременно получать единовременное пособие при рождении,"Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
32,32,Могут ли оба родителя получить единовременное пособие при рождении ребенка?,"Право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",БиР
33,33,"Можно ли изменить период больничного по беременности и родам, если в ЭЛН указаны другие периоды?","Сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
34,34,Могу я продолжить работать в период больничного по беременности и родам и получать пособие?,"Сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. Пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней БИРа).",БиР
35,35,нужно провести отпуск беременной,"Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
36,36,как оформить отпуск по беременности,"Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
37,37,как сделать отпуск беременной,"Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
38,38,Нужно провести отпуск беременной сотруднице,"Для оформления ежегодного отпуска вне графика сотрудник обращается к Бизнес - партнеру по персоналу для создания заявки в Личном кабинете по теме ""Отпуск вне графика (для HR)"", к заявке прикладывается справка о беременности. Заявления на отпуск принимаются за 6 дней до даты его начала.",БиР
39,39,"оформила выплату на пособие при рождении ребенка, а оно не пришло","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
40,40,Не устраивает расчет отпуска по уходу за ребенком,"С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
41,41,"Не устраивает выплата по беременности и родам, как произведен расчет?","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
42,42,"Что делать, если пособие по рождению ребенка оформлено, но не поступило?","С данным вопросом сотруднику необходимо обратиться в СФР по номеру телефона 8 (800) 100-00-01. Если требуется сделать перерасчет в связи с заменой лет по заявлению, сотрудник должен создать заявку в Личном кабинете по теме ""Больничный"", ""Перерасчет пособий"".",БиР
43,43,"перевестись, находясь в декрете",Перевод возможен после окончания отпуска по беременности и родам.,БиР
44,44,перевестись во время отпуска БИР,Перевод возможен после окончания отпуска по беременности и родам.,БиР
45,45,можно ли перевестись в период отпуска по БиР?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
46,46,я могу перевести во время отпуска по беременности?,Перевод возможен после окончания отпуска по беременности и родам.,БиР
47,47,хочу поменять магазин во время отпуска по беременности,Перевод возможен после окончания отпуска по беременности и родам.,БиР
48,48,Хочу получить единовременную выплату на внука,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
49,49,могу я как бабушка получить единовременную выплату при рождении ребенка,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
50,50,Может ли бабушка получить единовременную выплату при рождении ребенка?,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
51,51,Можно ли бабушке оформить отпуск по уходу за ребенком,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
52,52,Можно ли мне оформить отпуск по уходу за ребенком на внучку,"Для оформления отпуска по уходу за ребенком (внучкой/внуком) сотруднику необходимо предоставить следующие документы: 1. Заявление на отпуск до 3 лет; 2. Заявление на пособие до 1,5 лет; 3. Копия св-ва о браке родителей; 4. Копии св-ва о рождении всех детей; 5. Документ, подтверждающий степень родства бабушки и внучки (св-во о рождении сына или дочери, в зависимости от того, чья мама родителей оформляет отпуск); 6. Справки от родителей: 1.1 Если работают: Справка с места работы отца и матери ребенка - в справке прописать корректно вид пособия и вид отпуска. (Пример оформления справки – «Выдана_____, в том, что работает с___по настоящее время в_____. Отпуск по уходу за ребенком (ФИО, дата рождения ребенка) не оформлял. Ежемесячное пособие по уходу за ребенком до 1,5 лет не назначалось и не выплачивалось. Если у ребенка возраст до 3 месяцев – дополнительно справку с места работы мамы с указанием периода нахождения в отпуске по беременности и родам. 1.2 Если родители не трудоустроены: 1. Копии ТК 2. Справка с Пенсионного фонда РФ о неполучении ежемесячного пособия по уходу за ребенком 3. Приложение к заявлению о назначении пособия до 1,5 лет. Заявку следует создать по процессу 1091 – Администрирование отпуска по уходу за ребенком.",БиР
53,53,Что сделать для досрочного выхода из отпуска по уходу за ребенком?,Сотруднику необходимо написать заявление на досрочный выход из отпуска по уходу за ребенком и передать его непосредственному руководителю. Он оформит соответствующее мероприятие. Заявление сотрудник может взять в Базе знаний Личного кабинета.,БиР
54,54,"Что сделать, чтобы досрочно выйти из отпуска по беременности и родам","Выплата пособия по беременности и родам (БИР) производится за счет средств СФР. Пособие выплачивается единовременно в полном объеме. Если Вы решите выйти из отпуска по беременности и родам досрочно, то необходимо будет вернуть сумму пособия по беременности и родам за период с даты выхода на работу по дату окончания отпуска БИР, так как выплата пособия по беременности и родам и заработной платы одновременно не предусмотрена законодательством. Излишне выплаченные денежные средства подлежат возврату единовременным платежом и в полном объеме. Для досрочного выхода из отпуска по БиР создайте, пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку по процессу 1101 – Досрочный выход из отпуска по уходу за ребенком. В заявке необходимо указать, чтобы Вам вложили заявление – согласие об удержании излишне выплаченных денежных средств, сумму переплаты и реквизиты для возврата платежа.",БиР
55,55,"я не могу подписать заявление на БИР в течение двух недель, можно это сделать позже?",Информацию по больничному можно передать работодателю в течение 6 месяцев.,БиР
56,56,Есть ли сроки для предоставления документов после получения больничного по беременности и родам?,Информацию по больничному можно передать работодателю в течение 6 месяцев.,БиР
57,57,Где можно посмотреть электронный больничный,Личный кабинет - сервисы - больничные,больничный
58,58,Как загрузить больничный лист?,"На текущий момент данные по больничным листам поступают работодателю от СФР напрямую. Если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в Личном кабинете по теме ""Перерасчет пособий"" и указать номер ЭЛН.",больничный
59,59,Не отображается больничный лист,"На текущий момент данные по больничным листам поступают работодателю от СФР напрямую. Если больничный лист не был подтвержден, а затем появилась необходимость в его проведении, то сотруднику следует создать заявку в Личном кабинете по теме ""Перерасчет пособий"" и указать номер ЭЛН.",больничный
60,60,Как подать данные на перерасчет пособия?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
61,61,как изменить размер пособия?,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
62,62,Некорректный расчет пособия,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
63,63,как внести изменения в данные о пособии,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
64,64,изменить данные пособия,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
65,65,неправильный расчет пособия,"Создайте заявку по теме «Больничный», подтема ""Перерасчет пособий"". К заявке приложите документ - основание для перерасчета.",больничный
66,66,Как рассчитывается пособие по больничному листу?,"Расчет больничного производится по среднему заработку за последние 2 года, предшествующих году началу больничного. Размер пособия определяется в процентах в зависимости от трудового стажа сотрудника. При стаже 8 и более лет полагается пособие в размере 100% от среднего заработка. При стаже от 5 до 8 лет – 80% от среднего заработка. Стаж менее 5 лет даёт право на пособие в размере 60% от среднего заработка. Среднедневной заработок рассчитывается путем деления суммы всех начислений в пользу работника, начисленных за два предыдущих года, на число календарных дней расчетного периода.",больничный
