,question,content,category,question_changed,content_changed,category_changed,catalog
10,что делать после получения больничного по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",бир,что делать после получения больничного по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",беременность и роды,здоровье
11,как оформить бир?,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",бир,как оформить беременность и роды?,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",беременность и роды,здоровье
12,как оформить больничный по беременности и родам?,"сотруднику следует обратиться к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",бир,как оформить больничный по беременности и родам?,"сотруднику следует обратиться к непосредственному руководителю, чтобы он создал заявку в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир"".",беременность и роды,здоровье
13,как оформить моей сотруднице декретный отпуск?,"обратитесь к hrbp для создания заявки ""администрирование бир""",бир,как оформить моей сотруднице декретный отпуск?,"обратитесь к hrbp для создания заявки ""администрирование беременность и роды""",беременность и роды,здоровье
14,"сотрудница уходит в декрет, как мне провести ей декретный отпуск","обратитесь к hrbp для создания заявки ""администрирование бир""",бир,"сотрудница уходит в декрет, как мне провести ей декретный отпуск","обратитесь к hrbp для создания заявки ""администрирование беременность и роды""",беременность и роды,здоровье
15,как оформить пособие по рождению ребенка?,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",бир,как оформить пособие по рождению ребенка?,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",беременность и роды,здоровье
16,"родила ребенка, как оформить пособие?","если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",бир,"родила ребенка, как оформить пособие?","если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",беременность и роды,здоровье
17,хочу оформить единовременную выплату,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",бир,хочу оформить единовременную выплату,"если ребенок зарегистрирован в загс 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять социальный фонд россии. если ребенок зарегистрирован в загс до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в социальный фонд россии в личном кабинете https://company-x5.ru или приложении ""моя работа"" в разделе ""декрет"", тема ""выплата единовременного пособия по рождению ребенка"".",беременность и роды,здоровье
18,какие документы нужно подать на отпуск по уходу за ребенком?,"сотруднику необходимо перейти по ссылке в базу знаний личного кабинета https://company-x5.ru/cms/1091, открыть инструкцию по процессу 1091 - администрирование отпуска по уходу за ребенком.",бир,какие документы нужно подать на отпуск по уходу за ребенком?,"сотруднику необходимо перейти по ссылке в базу знаний личного кабинета https://company-x5.ru/cms/1091, открыть инструкцию по процессу 1091 - администрирование отпуска по уходу за ребенком.",беременность и роды,здоровье
19,какие документы нужно предоставить для оформления пособия по беременности и родам,"сотруднику следует написать заявление о предоставлении отпуска по беременности и родам и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",бир,какие документы нужно предоставить для оформления пособия по беременности и родам,"сотруднику следует написать заявление о предоставлении отпуска по беременности и родам и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",беременность и роды,здоровье
20,когда будет произведена выплата пособия по рождению ребенка?,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01,бир,когда будет произведена выплата пособия по рождению ребенка?,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01,беременность и роды,здоровье
21,сроки выплаты единовременного пособия при рождении ребенка,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01,бир,сроки выплаты единовременного пособия при рождении ребенка,выплата единовременного пособия при рождении производится в течение 10 рабочих дней. с дополнительными вопросами сотрудник может обратиться в сфр по номеру 8 (800) 100-00-01,беременность и роды,здоровье
22,"когда отпуск по бир закончился, нужно ли писать заявление?","если сотрудник хочет уйти в отпуск по уходу за ребенком, ему следует написать заявление о предоставлении отпуска по уходу за ребенком и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",бир,"когда отпуск по беременность и роды закончился, нужно ли писать заявление?","если сотрудник хочет уйти в отпуск по уходу за ребенком, ему следует написать заявление о предоставлении отпуска по уходу за ребенком и передать его непосредственному руководителю, он оформит соответствующее мероприятие.",беременность и роды,здоровье
23,могу ли я получить пособие по беременности и родам по каждому месту работы,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",бир,могу ли я получить пособие по беременности и родам по каждому месту работы,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",беременность и роды,здоровье
24,возможно ли получить пособие по беременности и родам по каждому месту работы?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",бир,возможно ли получить пособие по беременности и родам по каждому месту работы?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",беременность и роды,здоровье
25,могу я получать пособие сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",бир,могу я получать пособие сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",беременность и роды,здоровье
26,можно ли получать пособие по рождению ребенка сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",бир,можно ли получать пособие по рождению ребенка сразу в нескольких организациях?,"если вы работаете в нескольких местах, то можете оформить пособие по беременности и родам на каждом месте работы. при расчетах будет учитываться средний заработок у каждого работодателя в течение 2 лет.",беременность и роды,здоровье
27,могу я продолжить работать в отпуске по уходу за ребенком с сохранением пособия?,сотрудник может досрочно выйти из отпуска по уходу за ребенком с сохранением пособия,бир,могу я продолжить работать в отпуске по уходу за ребенком с сохранением пособия?,сотрудник может досрочно выйти из отпуска по уходу за ребенком с сохранением пособия,беременность и роды,здоровье
28,могу я продолжить работать в период больничного по беременности и родам и получать пособие,"вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",бир,могу я продолжить работать в период больничного по беременности и родам и получать пособие,"вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",беременность и роды,здоровье
29,"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды","вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",бир,"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды","вы можете продолжить работу во время больничного по беременности и родам, при этом вам будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",беременность и роды,здоровье
30,могут ли оба родителя получить единовременное пособие при рождении ребенка,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",бир,могут ли оба родителя получить единовременное пособие при рождении ребенка,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",беременность и роды,здоровье
31,можем ли мы с мужем одновременно получать единовременное пособие при рождении,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",бир,можем ли мы с мужем одновременно получать единовременное пособие при рождении,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",беременность и роды,здоровье
32,могут ли оба родителя получить единовременное пособие при рождении ребенка?,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",бир,могут ли оба родителя получить единовременное пособие при рождении ребенка?,"право на единовременное пособие при рождении ребенка имеет один из родителей или лицо, официально его заменяющее.",беременность и роды,здоровье
33,"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды?","сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",бир,"можно ли изменить период больничного по беременности и родам, если в элн указаны другие периоды?","сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",беременность и роды,здоровье
34,могу я продолжить работать в период больничного по беременности и родам и получать пособие?,"сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",бир,могу я продолжить работать в период больничного по беременности и родам и получать пособие?,"сотрудник может продолжить работу во время больничного по беременности и родам, при этом ему будет выплачиваться заработная плата. пособие по беременности и родам будет рассчитано с фактической даты ухода в отпуск по беременности и родам (соответственно, будет оплачено меньшее кол-во дней бира).",беременность и роды,здоровье
35,нужно провести отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",бир,нужно провести отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",беременность и роды,здоровье
36,как оформить отпуск по беременности,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",бир,как оформить отпуск по беременности,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",беременность и роды,здоровье
37,как сделать отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",бир,как сделать отпуск беременной,"для оформления ежегодного отпуска вне графика сотрудник обращается к бизнес - партнеру по персоналу для создания заявки в личном кабинете по теме ""отпуск вне графика (для hr)"", к заявке прикладывается справка о беременности. заявления на отпуск принимаются за 6 дней до даты его начала.",беременность и роды,здоровье
